2021-07-20 09:26:03.617 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402796
2021-07-20 09:26:03.673 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[*][#][J].',auto_category='[*][#][J].',scores = 0. where id = 23402785
2021-07-20 09:26:03.731 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402783
2021-07-20 09:26:03.793 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402772
2021-07-20 09:26:03.851 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402764
2021-07-20 09:26:03.909 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402761
2021-07-20 09:26:03.966 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402749
2021-07-20 09:26:04.028 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402741
2021-07-20 09:26:04.177 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[V][Y][A].',auto_category='[V][Y][A].',scores = 0. where id = 23402925
2021-07-20 09:26:04.239 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = -1. where id = 23402840
2021-07-20 09:26:04.303 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402784
2021-07-20 09:26:04.880 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[P].',auto_category='[P].',scores = 0. where id = 23402934
2021-07-20 09:26:04.938 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402816
2021-07-20 09:26:05.021 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[P].',auto_category='[P].',scores = 0. where id = 23402797
2021-07-20 09:26:05.081 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402790
2021-07-20 09:26:05.142 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[P].',auto_category='[P].',scores = 0. where id = 23402773
2021-07-20 09:26:05.201 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402743
2021-07-20 09:26:05.288 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S][#].',auto_category='[S][#].',scores = 0. where id = 23402732
2021-07-20 09:26:05.438 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[N][J][A].',auto_category='[N][J][A].',scores = 1. where id = 23402930
2021-07-20 09:26:05.569 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402964
2021-07-20 09:26:05.655 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 1. where id = 23402952
2021-07-20 09:26:05.724 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402946
2021-07-20 09:26:05.784 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402928
2021-07-20 09:26:07.073 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402923
2021-07-20 09:26:07.149 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402913
2021-07-20 09:26:07.214 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 0. where id = 23402906
2021-07-20 09:26:07.292 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402902
2021-07-20 09:26:07.350 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 0. where id = 23402901
2021-07-20 09:26:07.425 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402898
2021-07-20 09:26:07.501 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[H][@].',auto_category='[H][@].',scores = 2. where id = 23402897
2021-07-20 09:26:07.570 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402896
2021-07-20 09:26:07.639 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402894
2021-07-20 09:26:07.712 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402893
2021-07-20 09:26:07.781 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[H][@].',auto_category='[H][@].',scores = 1. where id = 23402889
2021-07-20 09:26:07.841 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402888
